ConstructorID,Name,Nationality
alfa,Alfa Romeo,Swiss
ferrari,Ferrari,Italian
mercedes,Mercedes,German
aston_martin,Aston Martin,British
mclaren,McLaren,British
williams,Williams,British
renault,Renault,French
sauber,Sauber,Swiss
red_bull,Red Bull,Austrian
toro_rosso,Toro Rosso,Italian
force_india,Force India,Indian
lotus_f1,Lotus F1,British
marussia,Marussia,Russian
caterham,Caterham,Malaysian
manor,Manor Marussia,British
haas,Haas F1 Team,American
racing_point,Racing Point,British
alphatauri,AlphaTauri,Italian
alpine,Alpine F1 Team,French
rb,RB F1 Team,Italian
